URL,Valoración,Estación,Km freeride,Continente,País,Provincia/Estado,Altitud,Km fáciles,Km intermedios,Km difíciles,Precio forfait adulto,Moneda,Tamaño del dominio esquiable,Variedad de pistas,Remontes y teleféricos,Fiabilidad de nieve,Acceso y aparcamiento,Señalización,Limpieza e higiene,Sostenibilidad,Gastronomía,Après-ski,Alojamiento en pistas,Familias y niños,Principiantes,Snowparks,Esquí de fondo,Código país,Latitud,Longitud,Km totales,Categoría tamaño,% Pistas fáciles,% Pistas intermedias,% Pistas difíciles,Perfil recomendado,Perfil freeride,Precio por km,Precio forfait EUR,Precio por km EUR
http://www.skiresort.info/ski-resort/nassfeld-hermagor/,4.2,Nassfeld – Hermagor,0.0,Europe,Austria,Carinthia (Karnten),2002.0,30.0,69.0,11.0,47.0,European Euro,4.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,AT,47.516231,14.550072,110.0,Grande,27.27272727272727,62.727272727272734,10.0,Intermedio,Sin freeride,0.43,47.0,0.43
http://www.skiresort.info/ski-resort/kuehtai/,4.1,Kühtai,0.0,Europe,Austria,Tyrol (Tirol),2520.0,6.0,26.2,8.8,39.0,European Euro,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,AT,47.516231,14.550072,41.0,Mediana,14.634146341463412,63.90243902439025,21.463414634146343,Intermedio,Sin freeride,0.95,39.0,0.95
http://www.skiresort.info/ski-resort/stubai-glacier-stubaier-gletscher/,4.1,Stubai Glacier (Stubaier Gletscher),0.0,Europe,Austria,Tyrol (Tirol),3212.0,19.0,15.0,4.0,47.0,European Euro,3.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,2.0,AT,47.516231,14.550072,38.0,Mediana,50.0,39.47368421052632,10.526315789473683,Principiante,Sin freeride,1.24,47.0,1.24
http://www.skiresort.info/ski-resort/grossarltaldorfgastein/,4.1,Großarltal/Dorfgastein,9.7,Europe,Austria,Salzburg (Salzburger Land),2033.0,25.5,43.1,1.5,43.0,European Euro,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,AT,47.516231,14.550072,70.1,Mediana,36.37660485021399,61.48359486447932,2.139800285306705,Intermedio,Freeride básico,0.61,43.0,0.61
http://www.skiresort.info/ski-resort/zauchenseeflachauwinkl/,4.1,Zauchensee/Flachauwinkl,3.5,Europe,Austria,Salzburg (Salzburger Land),2176.0,23.5,16.2,4.3,41.5,European Euro,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,AT,47.516231,14.550072,44.0,Mediana,53.40909090909091,36.81818181818181,9.772727272727272,Principiante,Freeride básico,0.94,41.5,0.94
http://www.skiresort.info/ski-resort/almenwelt-lofer/,4.0,Almenwelt Lofer,0.0,Europe,Austria,Salzburg (Salzburger Land),1670.0,32.0,12.0,2.0,42.0,European Euro,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,AT,47.516231,14.550072,46.0,Mediana,69.56521739130434,26.08695652173913,4.3478260869565215,Principiante,Sin freeride,0.91,42.0,0.91
http://www.skiresort.info/ski-resort/lermoos-grubigstein/,4.0,Lermoos – Grubigstein,1.7,Europe,Austria,Tyrol (Tirol),2100.0,12.8,12.6,1.9,44.0,European Euro,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,AT,47.516231,14.550072,27.3,Mediana,46.88644688644689,46.15384615384615,6.95970695970696,Equilibrada,Freeride básico,1.61,44.0,1.61
http://www.skiresort.info/ski-resort/golm/,4.0,Golm,3.2,Europe,Austria,Vorarlberg,2110.0,13.0,12.0,1.5,44.0,European Euro,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,AT,47.516231,14.550072,26.5,Mediana,49.0566037735849,45.28301886792453,5.660377358490567,Equilibrada,Freeride básico,1.66,44.0,1.66
http://www.skiresort.info/ski-resort/hintertux-glacier-hintertuxer-gletscher/,4.0,Hintertux Glacier (Hintertuxer Gletscher),0.0,Europe,Austria,Tyrol (Tirol),3250.0,14.0,35.0,11.0,52.0,European Euro,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,2.0,AT,47.516231,14.550072,60.0,Mediana,23.33333333333333,58.333333333333336,18.33333333333333,Intermedio,Sin freeride,0.87,52.0,0.87
http://www.skiresort.info/ski-resort/st-johann-in-tiroloberndorf-harschbichl/,4.0,St. Johann in Tirol/Oberndorf – Harschbichl,1.0,Europe,Austria,Tyrol (Tirol),1604.0,16.0,24.0,3.0,43.0,European Euro,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,AT,47.516231,14.550072,43.0,Mediana,37.2093023255814,55.81395348837209,6.976744186046512,Intermedio,Freeride básico,1.0,43.0,1.0
http://www.skiresort.info/ski-resort/radstadtaltenmarkt/,4.0,Radstadt/Altenmarkt,0.0,Europe,Austria,Salzburg (Salzburger Land),1571.0,9.2,7.2,0.6,32.0,European Euro,2.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,AT,47.516231,14.550072,17.0,Pequeña,54.11764705882353,42.35294117647059,3.5294117647058822,Principiante,Sin freeride,1.88,32.0,1.88
http://www.skiresort.info/ski-resort/tauplitz-bad-mitterndorf/,4.0,Tauplitz – Bad Mitterndorf,2.0,Europe,Austria,Styria (Steiermark),1965.0,18.0,19.0,6.0,41.0,European Euro,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,5.0,AT,47.516231,14.550072,43.0,Mediana,41.86046511627907,44.18604651162791,13.953488372093023,Equilibrada,Freeride básico,0.95,41.0,0.95
